Sentence #,text,tag
1,-DOCSTART-,O
2,EU,B-ORG
2,rejects,O
2,German,B-MISC
2,call,O
2,to,O
2,boycott,O
2,British,B-MISC
2,lamb,O
2,.,O
3,Peter,B-PER
3,Blackburn,I-PER
4,BRUSSELS,B-LOC
4,1996-08-22,O
5,The,O
5,European,B-ORG
5,Commission,I-ORG
5,said,O
5,on,O
5,Thursday,O
5,it,O
5,disagreed,O
5,with,O
5,German,B-MISC
5,advice,O
5,to,O
5,consumers,O
5,to,O
5,shun,O
5,British,B-MISC
5,lamb,O
5,until,O
5,scientists,O
5,determine,O
5,whether,O
5,mad,O
5,cow,O
5,disease,O
5,can,O
5,be,O
5,transmitted,O
5,to,O
5,sheep,O
5,.,O
6,Germany,B-LOC
6,'s,O
6,representative,O
6,to,O
6,the,O
6,European,B-ORG
6,Union,I-ORG
6,'s,O
6,veterinary,O
6,committee,O
6,Werner,B-PER
6,Zwingmann,I-PER
6,said,O
6,on,O
6,Wednesday,O
6,consumers,O
6,should,O
6,buy,O
6,sheepmeat,O
6,from,O
6,countries,O
6,other,O
6,than,O
6,Britain,B-LOC
6,until,O
6,the,O
6,scientific,O
6,advice,O
6,was,O
6,clearer,O
6,.,O
7,"""",O
7,We,O
7,do,O
7,n't,O
7,support,O
7,any,O
7,such,O
7,recommendation,O
7,because,O
7,we,O
7,do,O
7,n't,O
7,see,O
7,any,O
7,grounds,O
7,for,O
7,it,O
7,",",O
7,"""",O
7,the,O
7,Commission,B-ORG
7,'s,O
7,chief,O
7,spokesman,O
7,Nikolaus,B-PER
7,van,I-PER
7,der,I-PER
7,Pas,I-PER
7,told,O
7,a,O
7,news,O
7,briefing,O
7,.,O
8,He,O
8,said,O
8,further,O
8,scientific,O
8,study,O
8,was,O
8,required,O
8,and,O
8,if,O
8,it,O
8,was,O
8,found,O
8,that,O
8,action,O
8,was,O
8,needed,O
8,it,O
8,should,O
8,be,O
8,taken,O
8,by,O
8,the,O
8,European,B-ORG
8,Union,I-ORG
8,.,O
9,He,O
9,said,O
9,a,O
9,proposal,O
9,last,O
9,month,O
9,by,O
9,EU,B-ORG
9,Farm,O
9,Commissioner,O
9,Franz,B-PER
9,Fischler,I-PER
9,to,O
9,ban,O
9,sheep,O
9,brains,O
9,",",O
9,spleens,O
9,and,O
9,spinal,O
9,cords,O
9,from,O
9,the,O
9,human,O
9,and,O
9,animal,O
9,food,O
9,chains,O
9,was,O
9,a,O
9,highly,O
9,specific,O
9,and,O
9,precautionary,O
9,move,O
9,to,O
9,protect,O
9,human,O
9,health,O
9,.,O
10,Fischler,B-PER
10,proposed,O
10,EU-wide,B-MISC
10,measures,O
10,after,O
10,reports,O
10,from,O
10,Britain,B-LOC
10,and,O
10,France,B-LOC
10,that,O
10,under,O
10,laboratory,O
10,conditions,O
10,sheep,O
10,could,O
10,contract,O
10,Bovine,B-MISC
10,Spongiform,I-MISC
10,Encephalopathy,I-MISC
10,(,O
10,BSE,B-MISC
10,),O
10,--,O
10,mad,O
10,cow,O
10,disease,O
10,.,O
11,But,O
11,Fischler,B-PER
11,agreed,O
11,to,O
11,review,O
11,his,O
11,proposal,O
11,after,O
11,the,O
11,EU,B-ORG
11,'s,O
11,standing,O
11,veterinary,O
11,committee,O
11,",",O
11,mational,O
11,animal,O
11,health,O
11,officials,O
11,",",O
11,questioned,O
11,if,O
11,such,O
11,action,O
11,was,O
11,justified,O
11,as,O
11,there,O
11,was,O
11,only,O
11,a,O
11,slight,O
11,risk,O
11,to,O
11,human,O
11,health,O
11,.,O
12,Spanish,B-MISC
12,Farm,O
12,Minister,O
12,Loyola,B-PER
12,de,I-PER
12,Palacio,I-PER
12,had,O
12,earlier,O
12,accused,O
12,Fischler,B-PER
12,at,O
12,an,O
12,EU,B-ORG
12,farm,O
12,ministers,O
12,',O
12,meeting,O
12,of,O
12,causing,O
12,unjustified,O
12,alarm,O
12,through,O
12,"""",O
12,dangerous,O
12,generalisation,O
12,.,O
12,"""",O
13,.,O
14,Only,O
14,France,B-LOC
14,and,O
14,Britain,B-LOC
14,backed,O
14,Fischler,B-PER
14,'s,O
14,proposal,O
14,.,O
15,The,O
15,EU,B-ORG
15,'s,O
15,scientific,O
15,veterinary,O
15,and,O
15,multidisciplinary,O
15,committees,O
15,are,O
15,due,O
15,to,O
15,re-examine,O
15,the,O
15,issue,O
15,early,O
15,next,O
15,month,O
15,and,O
15,make,O
15,recommendations,O
15,to,O
15,the,O
15,senior,O
15,veterinary,O
15,officials,O
15,.,O
16,Sheep,O
16,have,O
16,long,O
16,been,O
16,known,O
16,to,O
16,contract,O
16,scrapie,O
16,",",O
16,a,O
16,brain-wasting,O
16,disease,O
16,similar,O
16,to,O
16,BSE,B-MISC
16,which,O
16,is,O
16,believed,O
16,to,O
16,have,O
16,been,O
16,transferred,O
16,to,O
16,cattle,O
16,through,O
16,feed,O
16,containing,O
16,animal,O
16,waste,O
16,.,O
17,British,B-MISC
17,farmers,O
17,denied,O
17,on,O
17,Thursday,O
17,there,O
17,was,O
17,any,O
17,danger,O
17,to,O
17,human,O
17,health,O
17,from,O
17,their,O
17,sheep,O
17,",",O
17,but,O
17,expressed,O
17,concern,O
17,that,O
17,German,B-MISC
17,government,O
17,advice,O
17,to,O
17,consumers,O
17,to,O
17,avoid,O
17,British,B-MISC
17,lamb,O
17,might,O
17,influence,O
17,consumers,O
17,across,O
17,Europe,B-LOC
17,.,O
18,"""",O
18,What,O
18,we,O
18,have,O
18,to,O
18,be,O
18,extremely,O
18,careful,O
18,of,O
18,is,O
18,how,O
18,other,O
18,countries,O
18,are,O
18,going,O
18,to,O
18,take,O
18,Germany,B-LOC
18,'s,O
18,lead,O
18,",",O
18,"""",O
18,Welsh,B-ORG
18,National,I-ORG
18,Farmers,I-ORG
18,',I-ORG
18,Union,I-ORG
18,(,O
18,NFU,B-ORG
18,),O
18,chairman,O
18,John,B-PER
18,Lloyd,I-PER
18,Jones,I-PER
18,said,O
18,on,O
18,BBC,B-ORG
18,radio,I-ORG
18,.,O
19,Bonn,B-LOC
19,has,O
19,led,O
19,efforts,O
19,to,O
19,protect,O
19,public,O
19,health,O
19,after,O
19,consumer,O
19,confidence,O
19,collapsed,O
19,in,O
19,March,O
19,after,O
19,a,O
19,British,B-MISC
19,report,O
19,suggested,O
19,humans,O
19,could,O
19,contract,O
19,an,O
19,illness,O
19,similar,O
19,to,O
19,mad,O
19,cow,O
19,disease,O
19,by,O
19,eating,O
19,contaminated,O
19,beef,O
19,.,O
20,Germany,B-LOC
20,imported,O
20,"47,600",O
20,sheep,O
20,from,O
20,Britain,B-LOC
20,last,O
20,year,O
20,",",O
20,nearly,O
20,half,O
20,of,O
20,total,O
20,imports,O
20,.,O
21,It,O
21,brought,O
21,in,O
21,"4,275",O
21,tonnes,O
21,of,O
21,British,B-MISC
21,mutton,O
21,",",O
21,some,O
21,10,O
21,percent,O
21,of,O
21,overall,O
21,imports,O
21,.,O
22,-DOCSTART-,O
23,Rare,O
23,Hendrix,B-PER
23,song,O
23,draft,O
23,sells,O
23,for,O
23,almost,O
23,$,O
23,"17,000",O
23,.,O
